Date,Ratio_a (HDFCLTD),Ratio_b (HDFCBANK)
2016-10-03,1.023000466,1.011273913
2016-10-04,1.004840407,1.001825668
2016-10-05,0.993542307,0.997324648
2016-10-06,1.0020026,0.99677319
2016-10-07,0.984361851,0.998946917
2016-10-10,0.991273064,1.002928315
2016-10-13,0.962233641,0.983182154
2016-10-14,0.982933752,0.999247674
2016-10-17,0.989286121,0.980900301
2016-10-18,1.040938592,1.016280197
2016-10-19,0.990333887,1.000397504
2016-10-20,1.013262303,0.997735129
2016-10-21,0.982793485,1.01210673
2016-10-24,1.005574053,0.99437318
2016-10-25,0.997098214,0.989513672
2016-10-26,0.995933139,0.991202111
2016-10-27,1.032892519,1.010328411
2016-10-28,1.009539008,1.005550675
2016-10-30,0.989796652,0.995433065
2016-11-01,1.028820327,1.005186308
2016-11-02,0.990932825,0.989164947
2016-11-03,0.998041799,1.00706175
2016-11-04,0.988976884,0.991035499
2016-11-07,0.996573242,1.004623301
2016-11-08,1.007202838,1.003881708
2016-11-09,0.970855644,0.997568365
2016-11-10,0.980567071,1.021818182
2016-11-11,0.957570496,0.997849126
2016-11-15,0.966413056,0.983500549
2016-11-16,1.024189272,0.991711496
2016-11-17,0.995857894,0.988628601
2016-11-18,0.999680051,0.984717932
2016-11-21,0.977716435,0.989516262
2016-11-22,1.022709604,0.999457746
2016-11-23,0.981755621,0.988898627
2016-11-24,0.992460673,0.983751846
2016-11-25,1.021681107,1.02042042
2016-11-28,1.002130139,0.995921971
2016-11-29,1.00729927,0.99518764
2016-11-30,1.005813028,1.017688229
2016-12-01,1.00546275,0.998041014
2016-12-02,0.973858268,0.993192733
2016-12-05,0.982818564,1.006097048
2016-12-06,1.022911439,0.998411836
2016-12-07,1.01733151,0.989241911
2016-12-08,1.019684573,1.015148951
2016-12-09,0.983253867,0.998999583
2016-12-12,0.99704317,0.988441959
2016-12-13,1.011111111,1.001519693
2016-12-14,0.990614368,0.991106428
2016-12-15,0.994196834,1.000765501
2016-12-16,1.007901842,1.004844467
2016-12-19,0.98325651,0.99530576
2016-12-20,0.990103374,1.004376461
2016-12-21,1.000040468,0.998392419
2016-12-22,0.985270314,0.994152542
2016-12-23,1.006119599,1.011209616
